organization_name,organization_user_name,organization_namespace_url,organization_website,location_country,form_of_organization
AgroCares,AgroCares,https://github.com/AgroCares,https://grasplan.nl/,Netherlands,community
DSMR-reader,dsmrreader,https://github.com/dsmrreader,https://dsmr-reader.readthedocs.io,Netherlands,community
STS Rosario,STS-Rosario,https://github.com/STS-Rosario,http://www.stsrosario.org.ar/index.html,Argentina,community
Open Solar Project,opensolarproject,https://github.com/opensolarproject,,Australia,for-profit
Open Food Foundation,openfoodfoundation,https://github.com/openfoodfoundation,https://www.openfoodnetwork.org/open-food-foundation/,Australia,non-profit
IUCN Red List of Ecosystems Science Team,red-list-ecosystem,https://github.com/red-list-ecosystem,http://iucnrle.org/,Australia,non-profit
openCEM,openCEMorg,https://github.com/openCEMorg,,Australia,academia
Quantum Photovoltaics Research Group,qpv-research-group,https://github.com/qpv-research-group,https://www.qpvgroup.org,Australia,academia
Badlands,badlands-model,https://github.com/badlands-model,http://www.earthcolab.org,Australia,academia
Collaboration on Energy and Environmental Markets (CEEM),UNSW-CEEM,https://github.com/UNSW-CEEM,http://ceem.unsw.edu.au/,Australia,academia
GEOdels,Geodels,https://github.com/Geodels,http://www.earthcolab.org,Australia,academia
OpenNEM,opennem,https://github.com/opennem,https://opennem.org.au,Australia,community
Trait Ecology and Evolution,traitecoevo,https://github.com/traitecoevo,,Australia,community
COSIMA,COSIMA,https://github.com/COSIMA,http://cosima.org.au,Australia,collaboration
Australian Antarctic Division,AustralianAntarcticDivision,https://github.com/AustralianAntarcticDivision,https://www.antarctica.gov.au/,Australia,government agency
Atlas of Living Australia,AtlasOfLivingAustralia,https://github.com/AtlasOfLivingAustralia,https://www.ala.org.au,Australia,government agency
ARCCSS climate extremes,ARCCSS-extremes,https://github.com/ARCCSS-extremes,https://climateextremes.org.au/,Australia,government agency
CSIRO Oceans and Atmosphere - Coastal Informatics Team,onaci,https://github.com/onaci,https://www.csiro.au/en/about/people/business-units/Oceans-and-Atmosphere,Australia,government agency
Aquatic EcoDynamics research group,AquaticEcoDynamics,https://github.com/AquaticEcoDynamics,https://aquatic.science.uwa.edu.au/,Australia,government agency
APSIM Initiative,APSIMInitiative,https://github.com/APSIMInitiative,,Australia,government agency
TU Wien - Department of Geodesy and Geoinformation,TUW-GEO,https://github.com/TUW-GEO,http://geo.tuwien.ac.at,Austria,academia
IIASA,iiasa,https://github.com/iiasa,https://www.iiasa.ac.at,Austria,academia
Eradiate,eradiate,https://github.com/eradiate,https://www.eradiate.eu/,Belgium,for-profit
BlueGreen Labs,bluegreen-labs,https://github.com/bluegreen-labs,http://bluegreenlabs.org,Belgium,academia
HYDR,VUB-HYDR,https://github.com/VUB-HYDR,http://www.hydr.vub.ac.be/,Belgium,academia
OBIS,iobis,https://github.com/iobis,http://www.obis.org,Belgium,collaboration
EnergieID cvba-so,EnergieID,https://github.com/EnergieID,http://www.energieid.be,Belgium,collaboration
RMIB - Dynamical Meteorology and Climatology,Climdyn,https://github.com/Climdyn,http://climdyn.meteo.be,Belgium,government agency
Voltbras,voltbras,https://github.com/voltbras,https://voltbras.com.br/,Brazil,for-profit
Openvironment,openvironment,https://github.com/openvironment,https://www.astridproject.com/,Brazil,academia
Brazil Data Cube,brazil-data-cube,https://github.com/brazil-data-cube,http://brazildatacube.org/,Brazil,government agency
e-sensing,e-sensing,https://github.com/e-sensing,http://www.esensing.org,Brazil,academia
Software Underground,softwareunderground,https://github.com/softwareunderground,https://softwareunderground.org,Canada,non-profit
Ouranos Inc.,Ouranosinc,https://github.com/Ouranosinc,https://www.ouranos.ca/f,Canada,non-profit
p2irc,p2irc,https://github.com/p2irc,https://p2irc.usask.ca/,Canada,academia
ESMG,ESMG,https://github.com/ESMG,https://www.myroms.org/,Canada,academia
Ocean Navigator,DFO-Ocean-Navigator,https://github.com/DFO-Ocean-Navigator,http://navigator.oceansdata.ca,Canada,academia
Canadian Society for Hydrological Sciences,CSHS-CWRA,https://github.com/CSHS-CWRA,https://cwra.org/en/branches/affiliates/cshs-a,Canada,academia
Permafrost research at Carleton University,geocryology,https://github.com/geocryology,https://carleton.ca/permafrost/,Canada,academia
Province of British Columbia,bcgov,https://github.com/bcgov,https://github.com/bcgov/BC-Policy-Framework-For-GitHub,Canada,government agency
Meteostat,meteostat,https://github.com/meteostat,https://meteostat.net,Canada,community
Natural Resources Canada,NRCan,https://github.com/NRCan,https://www.nrcan.gc.ca,Canada,government agency
RENTADRONE,RentadroneCL,https://github.com/RentadroneCL,https://rentadrone.cl/developers,Chile,community
KnowFlowTeam,KnowFlow,https://github.com/KnowFlow,https://publiclab.org/wiki/knowflow,China,community
MeteoInfo,meteoinfo,https://github.com/meteoinfo,http://www.meteothink.org/,China,academia
Eco-Hydrological Researches in China University of Geosciences (Wuhan),eco-hydro,https://github.com/eco-hydro,http://www.phenofit.top/,China,community
Organic Basics ApS,Organic-Basics,https://github.com/Organic-Basics,https://www.organicbasics.com,Denmark,for-profit
BONSAI,BONSAMURAIS,https://github.com/BONSAMURAIS,https://bonsai.uno/,Denmark,non-profit
GEUS Glaciology and Climate,GEUS-Glaciology-and-Climate,https://github.com/GEUS-Glaciology-and-Climate,https://eng.geus.dk/about/organisation/departments/glaciology-and-climate,Denmark,academia
TeamOcean,team-ocean,https://github.com/team-ocean,https://www.nbi.ku.dk/english/research/pice/oceanography/,Denmark,academia
electricityMap,electricitymap,https://github.com/electricitymap,https://www.electricitymap.org,Denmark,for-profit
European Environment Agency,eea,https://github.com/eea,http://www.eea.europa.eu,Denmark,government agency
Euro-Argo ERIC,euroargodev,https://github.com/euroargodev,https://www.euro-argo.eu,EU,academia
GRECO project,greco-project,https://github.com/greco-project,https://www.greco-project.eu/,EU,collaboration
"European Commission, Joint Research Centre (JRC)",ec-jrc,https://github.com/ec-jrc,https://ec.europa.eu/jrc/,EU,government agency
MaaS Global Ltd,maasglobal,https://github.com/maasglobal,https://maas.global,Finland,for-profit
Inverse Tampere,InverseTampere,https://github.com/InverseTampere,https://webpages.tuni.fi/inverse/,Finland,academia
KISIO Digital,CanalTP,https://github.com/CanalTP,https://kisio.com/metiers/solutions-digitales/,France,for-profit
AntaresSimulatorTeam,AntaresSimulatorTeam,https://github.com/AntaresSimulatorTeam,https://antares-simulator.org/,France,for-profit
HIT2GAP,HIT2GAP-EU-PROJECT,https://github.com/HIT2GAP-EU-PROJECT,https://www.bemserver.org/,France,for-profit
marmelab,marmelab,https://github.com/marmelab,http://marmelab.com,France,for-profit
Chargeprice,chargeprice,https://github.com/chargeprice,https://www.chargeprice.app,France,for-profit
CSTB,cstb,https://github.com/cstb,http://www.cstb.fr,France,for-profit
PyroNear,pyronear,https://github.com/pyronear,https://pyronear.org/,France,non-profit
Open Food Facts,openfoodfacts,https://github.com/openfoodfacts,https://world.openfoodfacts.org/,France,non-profit
FRB CESAB,FRBCesab,https://github.com/FRBCesab,https://www.fondationbiodiversite.fr/en/about-the-foundation/le-cesab/,France,academia
UMR AMAP,umr-amap,https://github.com/umr-amap,http://amap.cirad.fr,France,academia
OIE - Mines ParisTech,oie-mines-paristech,https://github.com/oie-mines-paristech,http://www.oie.mines-paristech.fr/,France,academia
PowerAPI,powerapi-ng,https://github.com/powerapi-ng,http://powerapi.org,France,academia
Data For Good France,dataforgoodfr,https://github.com/dataforgoodfr,http://www.dataforgood.fr,France,community
CoopCycle,coopcycle,https://github.com/coopcycle,https://coopcycle.org,France,community
Hubblo,hubblo-org,https://github.com/hubblo-org,https://hubblo.org,France,community
Trefle,treflehq,https://github.com/treflehq,https://trefle.io,France,community
