project_name,oneliner,git_namespace,git_url,platform,topics,rubric,last_commit_date,stargazers_count,number_of_dependents,stars_last_year,project_active,dominating_language,organization,organization_user_name,languages,homepage,refs,project_created,project_age_in_days,license,total_commits_last_year,total_number_of_commits,last_issue_closed,open_issues,closed_pullrequests,closed_issues,issues_closed_last_year,days_until_last_issue_closed,open_pullrequests,reviews_per_pr,development_distribution_score,last_released_date,last_release_tag_name,good_first_issue,contributors,accepts_donations,donation_platforms,code_of_conduct,contribution_guide,dependents_repos,organization_name,organization_github_url,organization_website,organization_location,organization_country,organization_form,organization_avatar,organization_public_repos,organization_created,organization_last_update
pvlib-python,A set of documented functions for simulating the performance of photovoltaic energy systems.,pvlib,https://github.com/pvlib/pvlib-python.git,github,"solar-energy,python,renewable-energy,renewables,photovoltaic",Photovoltaics and Solar Energy,"2024/05/03, 20:44:00",1079,528,230,true,Python,pvlib,pvlib,"Python,TeX,Cython,Pan",https://pvlib-python.readthedocs.io,",https://doi.org/10.5281/zenodo.593284,https://doi.org/10.21105/joss.05994,https://doi.org/10.21105/joss.05994\n\n\n**Recommended,https://doi.org/10.1016/j.solener.2023.112092\n\n**Historical,https://doi.org/10.21105/joss.00884\n\nIf","2015/02/17, 00:21:33",3366,BSD-3-Clause,133,1614,"2024/05/02, 22:58:48",224,920,1685,274,3,44,2.6,0.567120047309284,"2024/03/19, 15:16:03",v0.10.4,6,108,false,,true,true,"NREL/pysam,belsabbagh/grid-simulator,belsabbagh/grid-sim-container,rodrigomferreira/Amarna,haelshot/gamerverse,Pancio-code/Simulator,Felix561/smart-persistence-model,IPESE/REHO,renewables-ninja/gsee,huegi/2024-dig-ind-mini-project,iraola/new-GridCal,ruben2561/Master,work-projects-kirodh/ERA5-to-RE-CF-TS,maticcitam/solar_calculator,alexPhimanesone/solar_estimation,Neil-Sawhney/solar_tracking_code,aalivernini/airtree_server_public,yashladd/solar_water_heater,luoruofeng/PVCli,jeremyBoucherTecnicoUlisboa/energy_services_PV,energyscope/EnergyScope_coupling_GEMMES,Aarthi1508/yk-aws-application,numerous-com/solar-explorer,skipmcgee/wind-forecast,empowering-energy-solutions-ltd/public-pv-generation,empowering-energy-solutions-ltd/public-weather,empowering-energy-solutions-ltd/public-ev,nickleblanc/solar-simulator,davidusb-geek/emhass-pvlib-database,mgeier/pvOps,ckbk123/solarEstimationWithShading,sotsi/efmgr,PV-Tutorials/2024_Modeling_Webinar,maxaragon/OIE,mbari-org/pbp,BioroboticsLab/bb_rhythm,AI-nergy/aiecommon,MarekWadinger/dynamic_opt_growth_model,gusbacos/SUEWS_DB_Typology_test,jararias/sunwhere,EURAC-EEBgroup/pyBuildingEnergy,andreabotti/itaca,innotekseongminpark/Gateway,3MI-Labs/energy-billing-data-generation,andresherrera97/cloudiness_probabilistic_forecasting,ucg-uv/CropModels-Egypt-EOAfrica,Felix561/Photovoltaic-power-forecasting-using-deep-learning,sofuetakuma112/solar-power-data-visualization,zaid13/solargrale-backend,DavidSaldivia/tm_solarshift,khadija11111/STSF_based_Sky_imagers,justin13601/ai-shading,openclimatefix/india-forecast-app,MartenDeVries96/hydesign,Zaimr49/CNN-pytorch,htw-pv3/pvlib-pv3,mariuseb/bacsaas,fizzi01/SynthGen,quantumscript/IEEE_2030_5_gridappsd_server,thdfw/master_thesis,LuisRdAr/FVPredictive_TEST,bmijanovic/intellihome,tfavorite/electric-home-project,SPF-OST/optihood,gereon-t/oaem-web,gereon-t/oaemlib,NREL/PVDegradationTools,emanuelosva/solaru,Open-HEMS/pvcast-addon,Ruturaj4/package-management-project-pypi,dp-icea/ensaio-marco,assume-framework/assume,PlatypusPrincess626/UAV-IoT-Sim,barteksarwa/master,forceliuss/renewables_prediction,nagipvel/PortolaProd2023,BharathKumarRavichandran/ham-research-lab-shadow-analysis,Xoutron/TimeLeftBeforeSunset,epu-ntua/enershare-twinp2g,eougenia/TwinP2G,BiaPri/eu_power_plant_dash,shreyasskasetty/shadow-analysis,viventriglia/t-fors,Mastercol01/solrad,jungtaekkim/nanophotonic-structures,JNotelddim/community-home-energy-model,PV-Tutorials/PVPMC_2022,MaKollm/PtM-Scheduling,Nikita-Belyakov/CLOUD_SNOW_SEGMENTATION,pvstorageoptimization/Optibess_algorithm,VeraKowalczuk/acept,grinwi/smartboiler-add-on,grinwi/smart_boiler_hassio_addon,nirinsanity/HomeAssistant,yaiza0810/SolarPV_Internship,PV-Tutorials/pyData-2021-Solar-PV-Modeling,PV-Tutorials/PVSC48-Python-Tutorial,echedey-ls/MR-Spectrum,grinwi/smart_boiler,SanPen/GridCal,ZhengLin-Li/AWS,OmbreaPV/pySTICS,clockwork85/metforce,xihaui/energysystem-HSEL-BA,PV-Tutorials/PVSC50,martavp/pv-textbook,AlexandreHugoMathieu/pvfault_detection_solar_academy,pitar25petkov/Projekt-EMS,FedericoTartarini/tool-sma-extreme-heat-policy,szvsw/ml-for-building-energy-modeling,skloibhofer/fh-pandapower-cosimulation,andreabotti/itacca,NREL/EVOLVE,atiqureee51/energy-financial-PV,Satyabhama-Reddy/shadow-analysis,nonzchanon/hello-streamlit,sravya97/Shadow-Analysis,shreyasskasetty-tamu/shadow_analysis,Patrickyyh/shadow_analysis_yuhao,IsurangaPerera/shadow-analaysis,woodjmichael/PROPHET-Load_LSTM-mjw,Haitham-ghaida/MCC,OneMogin/model_hofmann,TimWalter/solar-power-estimator,blazdob/consmodel,riparise/solar-panel-sizing-tool,D-Agar/CanSat-Data-Client,bluedotthinking/domestic-energy-bill-reduction-app,MainakRepositor/Activation-Infopedia,haydaroglu/SolarEnergyPredictionSuite,openclimatefix/nowcasting_forecast,makkorjamal/hsdigitizer,openclimatefix/nowcasting_dataset,fulvio9999/PROGETTO-BD,justinfmccarty/morph-app,fgbg03/PROCSIM-Running-Results-Frontend,piotre13/NODES_platform,RWTH-EBC/AixWeather,justinfmccarty/pyepwmorph,pail23/energy-assistant-backend,heetbeet/heliostat-prototype,DavidMbx/Tesi_DavideCasuccio_SimulationTool,maniraman1982/Portola-master,AEJaspan/irradianceforecasting,matiasctrs/app-apv,Deutsches-Brennstoffinstitut/H2-Index-III,manitcs1982/PortolaProd2024,shadingfish/Dingyi_Yu-Digital-Agri-Lab,owentmfoo/WSCForecast,interuss/monitoring,manitcs1982/portolauatlocal,maniraman1982/uat,maniraman1982/portola-UAT,hmendo/chrpa,Shkryob/kostya-optimizer,hmendo/chrpa_test,Geoandres321/Trackers,Victor19970418/Power-consumption-forecast,manitcs1982/HaveBlue-root,cs224/jupyter-docker-hello-world,zhaoshouhang/pandas_learn,amritPVre/Solar_energy_estimator_v01,NREL/OCHRE,flecksi/container_test,Open-HEMS/pvcast,Deutsches-Brennstoffinstitut/DBI-MAT,chz056/BEAR,cai-yutian/pv-modelling-mirror,NREL/lore,Mousa-Zerai/HiSim,marcwatine/CC-LUT,BETALAB-team/EUReCA,owentmfoo/dusc_race_strategy_archive,jucrramirez/OrnamentaRainbow,shirubana/Approaches2BifacialPerformanceMonitoring,isc-konstanz/th-e-fcst,JustinZarb/natural_maps,cedricleroy/solpos,Hoshang111/lcoe-model,Sim-on-Wheels/Sim-on-wheels-Renderer,wago-stiftung/workshop_data-analytics,kaiATtum/battery-swapping-station-model,SMEISEN/AutoPV,the-aerospace-corporation/selenium,pdb-94/miguel,dcambie/LSC-PM_solar_miniplant,NathanSmeltzer/deps,SETO2243/forecasting,tug-cps/inframonitor-public,amosnjenga/pcsrt_python_cli,in-RET/inretensys-fastapi,Mizunomori/NEM_Pricing,Lodinn/PAM-timeseries,2022Yalin/MSc,CDT-AIMLAC/team_7564616d_models,NOWUM/smartdso,pombredanne/5000-deps,amritPVre/inter-row_beta,in-RET/in.RET-EnSys-open-plan-GUI,tribp/solar-forecast-api,salazarna/synthetic-irradiance-sequence,Abercardsea/Abercardsea-solution,Hykire/photovoltaic_simulation,HZBSolarOptics/pv_tandem,JMMonte/Reentry,LuisGarayF/shipcal_cl,slacgismo/pv-validation-hub,in-RET/dump-viewer,streetplantsolar/enactment-eyelash-strike-a4mm,heliostrome/streamlit_app,guilhermedcastr0/simulador_solar,sebastienlanglois/dash-gis,kabirnund/PROTOTYPE,Constructor-999/PlantSat-CanSat,kperrynrel/time-shift-validation-hub,DarkBrain-LP/Essivi-API,MIPU-MPH/i-nergy,bladekeys/sipi_project,xinhhh/capstone,openclimatefix/gfs-downloader,nicosquare/rl-energy-management,mikecoughlan/multi-station-dbdt-risk-assessment,JonathanRJ404/Code_Etalonnage,data-overflow/solar-output-predictor,kianwasabi/Weather_Information_API,areyc2023/cno,zakwatts/NWP_Island_data,ski907/historicHeatFlux,openclimatefix/pv-site-api,AssessingSolar/AssessingSolar,ijbd/merra-power-generation,kplutno/powersim,dtcc-platform/dtcc-solar,openclimatefix/pv-site-production,antoine-zurcher/PreSimulatorPV,StefaE/PVForecast,pvlib/solarfactors,MahrokhGB/Synthetic_PV_Profiles,openclimatefix/uk-pv-national-xg,zsteenson/GUI-two-axis-tracker-controller,owentmfoo/S5,kandersolar/twoaxistracking,wholmgren/twoaxistracking,TAMUparametric/energiapy,bitenergie/notes,gitter-badger/thea-1,openclimatefix/ocf-ml-metrics,ekck/solar-power-gen-analysis,openclimatefix/pv-solar-farm-forecasting,mark-mcnulty/two-axis-tracker-controller-code,UU-ER/EHUB-Py_Training,sofuetakuma112/pvpmc2022,lgaspard/repf,NOWUM/dmas,kike144/Solar,alksarioglou/compression_algorithms_fpga_ultrasound,json-0201/weather_and_solar_summary,saif-byte/masterpiece_limited,kkriti01/pvsimulator,Apoorva64/mauritius-solar-pannel-placement-analysis,DitisAlex/HAN-OOSE-Prediction-Model-BackEnd,ski907/hff,openclimatefix/pv-site-prediction,Tsiri/RHEIA,19conte/TR_datasophia,UU-ER/EHUB-Py,DTUWindEnergy/hydesign,MORE-EU/hackathon_athena,NCAR/mlsurfacelayer,NCAR/grafs,ttjaden/vdi4657.app,nhcho91/active-weighting-cmrac,kfiramar/baldar,cambridge-cares/TheWorldAvatar,tadatoshi/agrivoltaics_supply_side_management,FedericoTartarini/tool-risk-scale-football-nsw,Yasmin1209/Freshwater-PV,ArcticSnow/TopoPyScale,flecksi/pv_design_app,SepehrMosavat/PROGNOES,AlexandreHugoMathieu/pvfault_detection,BenWinchester/HEATDesalination,energyris-com/ai4hotels-demo,ShayanNaderi/PrecoolTool,slacgismo/pv-apache-beam,icaromisquita/WBS-Final-Project-PV-energy-prediction-for-Germany,rseng/rsepedia-analysis,magneb/skycolor,dvdjng/fpvwebsite,stefvra/energy_app,usnistgov/NIST_SG_SolarSim,JPCM95/portfo,simonneidhart/pv_mapping_ch,kaustuvchatterjee/vskp,openclimatefix/ocf_datapipes,pollination/sample-apps,flopaw/pvforecast-docker,moritz-reuter/ESEM-EE,cwhanse/ivcurves,brandonhanner/Solar-Simulation,nikohou/pv-data-utility-suite,AssessingSolar/solarstations,openclimatefix/power_perceiver,LBNL-ETA/AFC,olousgap/Combi_CSP,VMLC-PV/PVLC_Diode_Fit,OpenSTEF/openstef,joaoguilhermeS/Web-Development,cire-thk/BifacialSimu,npapnet/Combi_CSP,pranavsinghal30/PVForecast,tongpu/solar-power-simulation,slacgismo/gismo-cloud-deploy,jranalli/solartoolbox,jjcaine/top_dependencies_python,LE2P/pybsrnqc,oie-mines-paristech/IEA_PVPS_T16_QC_pynb,msoutojr/IFT-6759-Photovoltaic-forecast,nicosquare/ml-707-project,EvYogi/Rivesaltes,AndresPadillaUcros/PhotovoltaicForecast,mj-xmr/SolOptXMR,e-marco/onetmy,modusV/skia,sandialabs/CFTrack,enermaps/enermaps,helvecioneto/goes-data-toolkit,sophiegribben/EM401,davidusb-geek/emhass-add-on,aimlac-7564616D/models,cycle13/climate,abhijeetmokate/folder9876,zahraghh/DESweatherAnalysis,jsl12/plants,mtress/mtress,SeitaBV/flexmeasures-openweathermap,blaevens/PV_mcmc,ewilczynski/enermaps,energyscope/EnergyScope_multi_criteria,viktor-platform/sample-solar-panel-configurator,bhavyadureja25/ds_tool_with_upload,Sourabh470/IoT_Dashboard,shortfellow/dashapp,sunt05/SuPy,Caedin/RaspberryPiCamera,RubenVanEldik/ect2-bonus-project,instrat-pl/pypsa-pl,ZaninMarco/Copy-of-repository,mape-maker/mape-maker,Adrianonsare/EnergyAnalytics,covetool/clima,AnnabelNkir/La_Galerie,vondeF/solar_prediction-master,AIMLAC-Convergence/Convergence,YashasviBhatt/transformer_streaming,Bimal-Kumar-002/Sentiment-classification,inrae/SISPPEO,burundiocibu/pvlib-prometheus-exporter,fernandochacon92/AAM_APP_MA_2021,SteveShin9330/PV_PRED_LDAPS,andresgm/cno_solar,rehomewebapp/REhome,rohitsanam/streamlit-basic-app,FZJ-IEK3-VSA/HiSim,tjcoathu/bifacial_radiance,AnaDue99/microCPV_Iluminacion,zahraghh/multi_objective_optimization,martinrteran/Taller_Python3,hancse/ai_model_deployment,amritPVre/Hourly_GHI_GII_App,davidusb-geek/emhass,thiagohgmello1/pvsystem,AvG97/Avocado-Analyzer,yaotc/PVODataset,waggle-sensor/plugin-solar-irradiance,AdamRJensen/adamrjensen.github.io,IMMM-SFA/diyepw,slacgismo/solar-data-tools,UlisseProject/ULISSE,isi-ies-group/hiperion_app,bershawi/PV-simulator-challenge,SESMG/SESMG,JoseDiego101/Blog,sandialabs/pecos,nxtrung87/Voila,rheia-framework/RHEIA,sandialabs/pvOps,isc-konstanz/pvsys,UARENForecasting/ESPRR,thesethtruth/LESO,tinoetzold/PV-Prognose,cccwam/ift6759-project1-public,arkayyy/surya-disha,EURAC-EEBgroup/CULTURAL-E-Data-Visualization-Library,zahraghh/Two_Stage_SP,gpschnaars/zac_pvlib,francomozo/deepCloud,Saq90/ssg,gripenergy/omf,sillygoose/sbhistory,BBISSlab/DistributedEnergyGen,Vladykart/GPReport,mikofski/PVRW2021,mikofski/OLD-PVSC48-Python-Tutorial,CenterForTheBuiltEnvironment/clima,nacho-fm/glare,Peque/pvlib-procedural-test,SolarPerformanceInsight/solarperformanceinsight,UARENForecasting/erebos-ams2020,benjaminpillot/greece,Weiming-Hu/RenewableSimulator,SolarGenomeProject/uncertainty-pv-generation-models,rayarka/EG3301R_Data_and_Programs,jeanromainroy/spatial-prediction-afg-landmines,Vesino/Exergy-YDX,brizett/reegis_hp,Rumbelstilzchen/Monitoring,Vesino/pvlib_tesis,louis-richard/irfu-python,abachleda/FM_e-services,ihomelab/effect-of-sampling-rate-on-PV-self-consumption,DuraMAT/pvpro,oemof-heat/solar_models,traiyn/abcdtft,gayashiva/air_model,selmaneislam/rdootl,cdeline/bifacialvf,cogent-computing/Heed-Microcontroller,TheUninvitedGuest/tmh-challenge,zoezhang926/SolarMartSim,prathamrg/solarapp,Adrian658/ClearSkyDetection,jcjveraa/sunscreen-controller,RaphiOriginal/blindAutomation,jungse12/Ford-Deploy,jungse12/Ford-Website,Gkrumbach07/solar_forecaster,pvedu/pvon,danielvanpaass/Demonstrator,cropsinsilico/hothouse,chrisorner/PowerPlan,uiandwe/django-best-practice-example,emanuelosva/solaru_legacy,simardeep1792/LOHS,keenchan/111,keenchan/pv,david-salac/Renewable-energy-prediction,bradbase/flyingkoala_pvlib,DanielFonteneleNogueira/painel,quintel/scenario-tools,kwhanalytics/data-env,UniOfLeicester/plotdarn,greco-project/pvcompare,HrushikeshBodas/HRES_optimization,mesmo-dev/mesmo,yaricp/py-solarhouse,kwhanalytics/insurance-requirements,pvcaptest/pvcaptest,iansloop/PV_Mismatch_Refactoring,pvlib/pvanalytics,ECE-492-W2020-Group-6/smart-blinds-rpi,greco-project/greco_technologies,UARENForecasting/erebos,maxmills1/Irradiance,vegraux/solar_path,panzer/capstone-mppt,david-salac/Fast-SZA-and-SAA-computation,kwhanalytics/postgis-heliostats-py3.5,nicolasholland/yuce,nano-sippe/bifacial_illumination,FZJ-IEK3-VSA/RESKit,oemof/oemof-thermal,tylunel/pvpumpingsystem,Pyosch/vpplib,greco-project/cpvtopvlib,FZJ-IEK3-VSA/tsib,NREL/Solar-Forecasting,Jeffrey-Simpson/Solar-Forecasting,mikofski/pvwatts_emulator,toddkarin/vocmax,cbaretzky/BuildingEnergySimulation,Ekistica/irradiance_synth,coroa/tmhpvsim,MichaelHopwood/PVPolyfit,kwhanalytics/marvin,rory87/caledonia-energy,SolarArbiter/workshop,harpreet153/pv-graph,toddkarin/pvtools,duplessisaa/Docker,SolarArbiter/solarforecastarbiter-core,mesmo-dev/cobmo,25sal/pvprediction,josephmckinsey/NRELHackathon2018,BLM-UoR/BLM,NREL/pv_tomcat,be-lb/solar-loader,higab85/off-grid,buds-lab/the-building-data-genome-project,SunPower/pvfactors,hackingmaterials/duramat_dashboard,kwhanalytics/postgis-marvin,hackingmaterials/ivtools,michbeg/IBM-DSX,teamvirtue/smart-sockets-dev,JohannesBertens/InSolarBase,JasonTarzan/PV_Forecast,eckara/CSSS,heliotrope-energy/bifacial,louisguitton/ifp-class-ml,BreakingBytes/pvfree,BreakingBytes/simkit,tplemmens/InSolar,mikofski/pvsc44-clearsky-aod,Solcast/howto-pandas,vkinakh/calc-solar-panel-effectivness,WalterGoedecke/virtualenv,BreakingBytes/UncertaintyWrapper,open-fred/lib_validation,SunPower/PVMismatch,reegis/reegis,adriandole/pv_timelapse,isc-konstanz/emonpv,oemof/feedinlib,NREL/bifacialvf,NREL/rdtools,NREL/bifacial_radiance,nshakhat/PVSimulator",,https://github.com/pvlib,,,,,https://avatars.githubusercontent.com/u/11037261?v=4,,,
pvfactors,Open source view-factor model for diffuse shading and bifacial PV modeling.,SunPower,https://github.com/SunPower/pvfactors.git,github,"solar-energy,renewable-energy,python,bifacial",Photovoltaics and Solar Energy,"2022/02/22, 21:53:32",76,14,4,false,Python,SunPower,SunPower,"Python,Makefile",http://sunpower.github.io/pvfactors/,,"2018/05/14, 06:10:55",2184,BSD-3-Clause,0,104,"2023/04/28, 14:34:18",19,97,128,0,374,2,2.4,0.129032258064516,"2022/02/22, 20:16:58",v1.5.2,0,5,false,,false,true,"yaiza0810/SolarPV_Internship,matiasctrs/app-apv,Hoshang111/lcoe-model,areyc2023/cno,kike144/Solar,tadatoshi/agrivoltaics_supply_side_management,rseng/rsepedia-analysis,cire-thk/BifacialSimu,andresgm/cno_solar,thesethtruth/LESO,prathamrg/solarapp,anomam/pvfactors_iea_pvps_study,toddkarin/vocmax,toddkarin/pvtools",,https://github.com/SunPower,,,,,https://avatars.githubusercontent.com/u/1341977?v=4,,,
gsee,Global Solar Energy Estimator.,renewables-ninja,https://github.com/renewables-ninja/gsee.git,github,"solar,pandas,energy,irradiance,photovoltaic,pv,electricity,ninja",Photovoltaics and Solar Energy,"2024/04/29, 07:06:37",111,0,13,true,Python,Renewables.ninja,renewables-ninja,"Python,Makefile",https://gsee.readthedocs.io/,",https://doi.org/10.1016/j.energy.2016.08.060","2016/09/01, 11:41:04",2804,BSD-3-Clause,1,58,"2024/04/15, 07:10:49",7,9,10,1,21,2,0.333333333333333,0.070175438596491,,,0,3,false,,false,true,,,https://github.com/renewables-ninja,https://www.renewables.ninja/,,,,https://avatars.githubusercontent.com/u/11838260?v=4,,,
PVMismatch,An explicit Python PV system IV & PV curve trace calculator which can also calculate mismatch.,SunPower,https://github.com/SunPower/PVMismatch.git,github,"numpy,scipy,python,solar,photovoltaic",Photovoltaics and Solar Energy,"2022/04/14, 19:15:36",69,0,10,true,Jupyter Notebook,SunPower,SunPower,"Jupyter Notebook,Python,Makefile,Batchfile",http://sunpower.github.io/PVMismatch/,,"2013/01/23, 00:26:43",4121,BSD-3-Clause,0,415,"2024/04/18, 13:43:06",50,41,96,2,18,5,2.2,0.173410404624277,"2019/05/11, 20:24:38",v4.1,0,8,false,,false,true,,,https://github.com/SunPower,,,,,https://avatars.githubusercontent.com/u/1341977?v=4,,,
rdtools,An open source library to support reproducible technical analysis of time series data from photovoltaic energy systems.,NREL,https://github.com/NREL/rdtools.git,github,,Photovoltaics and Solar Energy,"2024/04/10, 16:35:22",140,7,19,true,Python,National Renewable Energy Laboratory,NREL,Python,https://rdtools.readthedocs.io/,",https://doi.org/10.5281/zenodo.1210316,https://doi.org/10.1109/JPHOTOV.2017.2779779,https://doi.org/10.1109/JPHOTOV.2017.2784682,https://doi.org/10.1109/PVSC45281.2020.9300635,https://doi.org/10.1109/PVSC43889.2021.9518733","2016/11/18, 22:17:01",2725,MIT,82,724,"2024/04/29, 19:40:55",58,245,356,33,6,8,0.8,0.509769094138544,"2023/12/01, 22:39:45",3.0.0-alpha.4,0,13,false,,true,true,"DuraMAT/pvpro,cai-yutian/pv-modelling-mirror,MORE-EU/hackathon_athena,bhavyadureja25/ds_tool_with_upload,mikofski/PVRW2021,josephmckinsey/NRELHackathon2018,hackingmaterials/duramat_dashboard",,https://github.com/NREL,http://www.nrel.gov,"Golden, CO",,,https://avatars.githubusercontent.com/u/1906800?v=4,,,
Machine-Learning-for-Solar-Energy-Prediction,Predict the power production of a solar panel farm from weather measurements using machine learning.,ColasGael,https://github.com/ColasGael/Machine-Learning-for-Solar-Energy-Prediction.git,github,"machine-learning,neural-network,data-processing,python,matlab,tensorflow",Photovoltaics and Solar Energy,"2019/11/07, 18:37:29",215,0,50,false,Python,,,"Python,MATLAB,R,TeX,TSQL",,,"2018/05/06, 19:43:04",2191,MIT,0,11,"2019/11/15, 19:01:02",1,0,3,0,1633,0,0,0,,,0,1,false,,false,true,,,,,,,,,,,
elpv-dataset,A dataset of functional and defective solar cells extracted from EL images of solar modules.,zae-bayern,https://github.com/zae-bayern/elpv-dataset.git,github,"photovoltaic,solar-energy,solar-cells,machine-learning,computer-vision",Photovoltaics and Solar Energy,"2021/05/24, 21:44:52",192,0,41,true,Python,ZAE Bayern,zae-bayern,Python,,",https://doi.org/10.1007/s00138-021-01191-9","2018/03/07, 10:53:56",2252,CUSTOM,0,18,"2023/11/15, 13:53:03",0,0,5,2,173,0,0,0,"2021/05/25, 12:15:29",v1.0,0,1,false,,false,true,,,https://github.com/zae-bayern,https://www.zae-bayern.de,,,,https://avatars.githubusercontent.com/u/37119743?v=4,,,
feedinlib,Contains implementations of photovoltaic models to calculate electricity generation from a PV installation based on given solar radiation. Furthermore it contains all necessary pre-calculations.,oemof,https://github.com/oemof/feedinlib.git,github,,Photovoltaics and Solar Energy,"2023/07/30, 04:54:03",95,16,23,true,Python,oemof community,oemof,Python,,,"2014/07/24, 09:03:29",3574,MIT,3,507,"2023/07/21, 12:14:55",24,19,53,2,290,5,0.8,0.688372093023256,"2019/01/31, 14:19:59",v0.0.12,0,11,false,,false,true,"energyscope/EnergyScope_coupling_GEMMES,in-RET/inretensys-fastapi,in-RET/dump-viewer,UU-ER/EHUB-Py_Training,UU-ER/EHUB-Py,oemof/oemof,moritz-reuter/ESEM-EE,rl-institut/OWEFE,dpinney/wiires,SESMG/SESMG,greco-project/greco_technologies,birgits/dgs_tool,open-fred/feedin_germany,rl-institut/WAM_APP_vdi,rl-institut/WAM_APP_stemp_mv,rl-institut/appBBB",,https://github.com/oemof,https://oemof.org,Germany,,,https://avatars.githubusercontent.com/u/8503379?v=4,,,
photovoltaic,A Python library used in photovoltaics.,pvedu,https://github.com/pvedu/photovoltaic.git,github,,Photovoltaics and Solar Energy,"2022/04/25, 22:48:39",49,2,5,false,HTML,,,"HTML,Python,Batchfile",,,"2017/08/29, 23:41:59",2441,GPL-3.0,0,56,"2022/04/25, 22:48:40",2,2,2,0,741,1,0,0.428571428571429,,,0,3,false,,false,false,"NREL/PVDegradationTools,pvedu/pvon",,,,,,,,,,
pvcaptest,Collection of functions and Jupyter Notebooks to partially automate running a capacity test following ASTM E2848.,pvcaptest,https://github.com/pvcaptest/pvcaptest.git,github,,Photovoltaics and Solar Energy,"2024/05/06, 02:46:58",19,2,3,true,Python,,pvcaptest,Python,,,"2017/09/19, 01:33:23",2421,MIT,161,996,"2024/05/06, 02:32:32",21,46,90,26,0,0,0,0.013856812933026,"2024/03/21, 11:45:52",v0.12.1,0,3,false,,false,false,"shirubana/Approaches2BifacialPerformanceMonitoring,pvcaptest/pvcaptest",,https://github.com/pvcaptest,,,,,https://avatars.githubusercontent.com/u/53880406?v=4,,,
